area,location,number_rooms,price_per_meter,url
"38,51 m²","Wrocław, Śródmieście",2 pokoje,9 089 zł/m²,https://www.otodom.pl/oferta/przytulne-mieszkanie-w-centrum-ID44ibq.html#ae255a2939
"46,50 m²","Wrocław, dolnośląskie",2 pokoje,10 688 zł/m²,https://www.otodom.pl/oferta/centrum-lux-2-pok-w-zabytkowej-kamienicy-dla-kon-ID44KT1.html#ae255a2939
40 m²,"Wrocław, Psie Pole",2 pokoje,2 475 zł/m²,https://www.otodom.pl/oferta/mieszkanie-za-99-tys-odstapie-zamienie-ID41DmA.html#ae255a2939
"49,04 m²","Wrocław, Fabryczna",2 pokoje,6 890 zł/m²,https://www.otodom.pl/oferta/stablowice-pelen-rozklad-49m2-ID44W47.html#ae255a2939
"52,49 m²","Wrocław, Psie Pole",2 pokoje,6 750 zł/m²,https://www.otodom.pl/oferta/zamieszkaj-na-zakrzowie-2-pokoje-w-tym-roku-ID44W48.html#ae255a2939
"58,75 m²","Wrocław, Fabryczna",3 pokoje,6 890 zł/m²,https://www.otodom.pl/oferta/narozne-z-tarasem-3-pokoje-ID44W44.html#ae255a2939
51 m²,"Wrocław, Krzyki",2 pokoje,9 608 zł/m²,https://www.otodom.pl/oferta/2-pokojowe-51m-z-balkonem-przy-aqua-parku-ul-bor-ID44OX1.html#ae255a2939
280 m²,"Wrocław, dolnośląskie",5 pokoi,działka 2 300 m²,https://www.otodom.pl/oferta/dom-280m2-na-polu-golfowym-toya-golf-ID44ssW.html#ae255a2939
280 m²,"Wrocław, Krzyki",5 pokoi,działka 2 300 m²,https://www.otodom.pl/oferta/lokal-uzytkowy-52m2-ul-skarbowcow-ID44W3F.html#ae255a2939
39 m²,"Wrocław, Krzyki, Jagodno",2 pokoje,11 000 zł/m²,https://www.otodom.pl/oferta/okolice-klasztornej-balkon-garaz-2019-ID44W3m.html#ae255a2939
"47,90 m²","Wrocław, dolnośląskie",2 pokoje,7 098 zł/m²,https://www.otodom.pl/oferta/hala-tecza-48m2-lux-2-pokoje-ID44W39.html#ae255a2939
"41,90 m²","Wrocław, dolnośląskie",2 pokoje,9 785 zł/m²,https://www.otodom.pl/oferta/perelka-ok-kosciuszki-42m2-2-pokoje-lux-ID44W37.html#ae255a2939
38 m²,"Wrocław, dolnośląskie",2 pokoje,9 211 zł/m²,https://www.otodom.pl/oferta/ok-kamienna-2-pokoje-38m2-ID44W31.html#ae255a2939
55 m²,"Wrocław, Krzyki, Borek",3 pokoje,9 618 zł/m²,https://www.otodom.pl/oferta/nowoczesne-rodzinne-mieszkanie-3-pokojowe-krzyki-ID44Aub.html#ae255a2939
62 m²,"Wrocław, Krzyki, Południe",3 pokoje,9 661 zł/m²,https://www.otodom.pl/oferta/okolice-sky-tower-loggia-winda-2019-ID44W2N.html#ae255a2939
"46,90 m²","Wrocław, dolnośląskie",2 pokoje,9 787 zł/m²,https://www.otodom.pl/oferta/perelka-olimpia-port-2-pokoje-lux-ID44W2v.html#ae255a2939
"41,80 m²","Wrocław, dolnośląskie",2 pokoje,9 569 zł/m²,https://www.otodom.pl/oferta/okazja-perelka-2015-rok-ok-galeria-dominikanska-ID44W2u.html#ae255a2939
